ts,thrust_in_g
1.1491618156433105,-2
1.2416582107543945,-1
1.333965539932251,-2
1.426440954208374,-2
1.5189530849456787,-2
1.6112580299377441,-1
1.70375657081604,0
1.7962212562561035,-2
1.8887388706207275,-2
1.9810423851013184,-2
2.073556900024414,-1
2.1660144329071045,-1
2.258359432220459,-1
2.350865602493286,0
2.4433212280273438,-1
2.535642385482788,-1
2.628143310546875,-2
2.72062087059021,-1
2.8131253719329834,-1
2.9054336547851562,0
2.9979336261749268,-1
3.0904159545898438,-3
3.182918071746826,-1
3.27522349357605,-1
3.3677542209625244,-1
3.4602487087249756,-2
3.552760124206543,-2
3.6451923847198486,0
3.7376925945281982,-1
3.8301143646240234,-3
3.9224958419799805,0
4.014978885650635,0
4.107477903366089,0
4.199962615966797,0
4.292439937591553,-1
4.384791612625122,-2
4.477269887924194,-2
4.56979775428772,-1
4.662231922149658,-2
4.754575490951538,-2
4.847037315368652,-1
4.939539670944214,-1
5.032025337219238,-2
5.124354839324951,-2
5.216837167739868,-2
5.309334754943848,-1
5.401836156845093,0
5.494307041168213,0
5.5868401527404785,0
5.679121017456055,-2
5.771605968475342,-3
5.864107847213745,-2
5.9565818309783936,0
6.049086570739746,0
6.141402721405029,0
6.233900547027588,0
6.326366424560547,1
6.418875217437744,-1
6.511359691619873,-2
6.603695392608643,-2
6.6961669921875,-1
6.788672208786011,0
6.881148815155029,-2
6.973661184310913,-2
7.065953254699707,-1
7.158465385437012,-1
7.2509355545043945,-2
7.343442678451538,-1
7.435922384262085,0
7.528428316116333,-1
7.620926380157471,-1
7.713370323181152,-1
7.805712699890137,1
7.8983683586120605,0
7.990698337554932,-1
8.083175897598267,1
8.175692558288574,2
8.268154621124268,1
8.36066222190857,0
8.45314073562622,-1
8.545640230178833,0
8.637965440750122,1
8.730448722839355,1
8.822922229766846,0
8.915436267852783,0
9.007737874984741,0
9.100241422653198,0
9.192734003067017,0
9.285197019577026,0
9.377529382705688,-2
9.470019102096558,0
9.562518119812012,-1
9.655011892318726,-2
9.747490167617798,-1
9.84001898765564,-2
9.932471990585327,-3
10.024958848953247,-2
10.117466688156128,-2
10.20976185798645,-2
10.302265167236328,-1
10.394758939743042,-2
10.487217664718628,-3
10.579582691192627,-3
10.672065019607544,-4
10.764535427093506,-3
10.857064485549927,-3
10.94951605796814,-1
11.041848421096802,0
11.134328842163086,-2
11.226842641830444,-1
11.319328784942627,-1
11.411641120910645,0
11.504112720489502,-1
11.596621036529541,-1
11.689098358154297,-1
11.78142762184143,-1
11.873904705047607,0
11.966409921646118,-2
12.058892011642456,-1
12.151216745376587,-1
12.243694543838501,-1
12.336174011230469,-1
12.4286789894104,0
12.521007061004639,-1
12.613483428955078,-1
12.70596957206726,-2
12.798426628112793,-2
12.890905857086182,-3
12.9834144115448,0
13.075934171676636,0
13.16845965385437,-1
13.260936260223389,-1
13.353254079818726,-2
13.445714950561523,-2
13.538234949111938,-1
13.630703687667847,-1
13.72320556640625,-3
13.815538883209229,-3
13.908018112182617,-2
14.00049376487732,-1
14.093013763427734,-1
14.185309410095215,-1
14.277815341949463,0
14.3702871799469,0
14.46279501914978,-1
14.555094718933105,-1
14.647599697113037,-2
14.740073204040527,-2
14.832578897476196,-1
14.925060272216797,-1
15.01738953590393,0
15.109884023666382,0
15.202370643615723,0
15.294848680496216,-1
15.387185335159302,-1
15.47965955734253,-1
15.57216739654541,-4
15.664644002914429,-3
15.757119417190552,0
15.849451541900635,-1
15.941933870315552,-2
16.034420251846313,-2
16.1269109249115,-2
16.219454526901245,-2
16.311745643615723,-1
16.404213666915894,0
16.496696949005127,-1
16.5892014503479,-2
16.68168306350708,-3
16.774184465408325,-1
16.866664171218872,-1
16.95917320251465,-2
17.0514874458313,-3
17.143977165222168,-1
17.2364559173584,-1
17.32896089553833,-3
17.421396255493164,-1
17.51393485069275,-1
17.60626482963562,-1
17.698752880096436,-3
17.79123067855835,-2
17.883734703063965,-1
17.976238012313843,-2
18.068538904190063,-2
18.161020517349243,-1
18.25350022315979,-1
18.346007347106934,-2
18.43848180770874,-1
18.530991077423096,-1
18.623226404190063,-2
18.715792894363403,-2
18.808225631713867,-1
18.900776624679565,-2
18.99309015274048,-1
19.085582971572876,0
19.178066968917847,0
19.270570039749146,0
19.362903356552124,-3
19.455434322357178,-2
19.54785990715027,-1
19.64035940170288,-2
19.73266077041626,-1
19.825103282928467,0
19.91764807701111,0
20.01016092300415,0
20.102644681930542,-1
20.194953680038452,-1
20.28745698928833,-2
20.379941701889038,-2
20.472479343414307,-1
20.564745903015137,-1
20.657243728637695,-1
20.749727725982666,-2
20.84220862388611,-2
20.93453311920166,-2
21.026957750320435,-4
21.11953067779541,-2
21.21199893951416,-2
21.304347276687622,-2
21.396803855895996,-2
21.48930788040161,-2
21.5817973613739,-2
21.67411756515503,-2
21.76659393310547,-2
21.859098434448242,-2
21.95157814025879,-2
22.04405951499939,-1
22.136560440063477,-1
22.22903871536255,-2
22.321542024612427,-2
22.413851022720337,-2
22.506369590759277,-1
22.598828554153442,-2
22.691349506378174,0
22.783814191818237,-1
22.876121044158936,-1
22.9686222076416,-1
23.061136960983276,-1
23.15360188484192,0
23.24593472480774,-1
23.338414669036865,-3
23.43091917037964,-4
23.52339506149292,-3
23.615720987319946,-3
23.708203554153442,-2
23.80066967010498,-1
23.893181562423706,-2
23.985509395599365,-2
24.078007459640503,-2
24.170503854751587,-3
24.26297879219055,15
24.355634212493896,227
24.447953939437866,367
24.54043698310852,354
24.632940530776978,401
24.725422859191895,439
24.817773818969727,477
24.910228967666626,537
25.002737760543823,597
25.09505844116211,663
25.187548875808716,746
25.28002142906189,936
25.372472524642944,1159
25.464985370635986,1486
25.55750322341919,1821
25.64994478225708,2001
25.742350339889526,2056
25.83480215072632,2091
25.92730736732483,2326
26.019766330718994,2176
26.112287998199463,1900
26.204588413238525,1719
26.29708695411682,1480
26.389572143554688,1041
26.48189687728882,741
26.574378967285156,572
26.666885375976562,502
26.759190320968628,454
26.851733922958374,411
26.94416904449463,376
27.03669309616089,345
27.12897253036499,320
27.2214937210083,297
27.31396746635437,280
27.40648651123047,271
27.49877667427063,258
27.5912663936615,243
